samples,loss,perplexity,latency_mean,latency_std,latency_p50,throughput,average_depth,layer_reduction,relative_flops,compute_reduction,share_shallow,share_medium,share_deep,accuracy,answer_loss,answer_perplexity,fallback_rate,mean_confidence,variant,label,dataset,wall_clock_seconds,switches,switch_rate,volatility,monitor_stability_score,rollback_count,rollback_rate,stability_status,parameters
40,3.8016729414463044,44.776029545777796,0.03756519999915327,0.02416247477288003,0.03319085000111954,26.62038269522165,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.075,5.6521089524030685,284.8916556573835,0.0,,static,Baseline A: Static GPT-2 (12 layers),short_qa,22.19377529999474,,,,,,,,
40,5.974009430408477,393.0785365321782,0.024915762498494587,0.01295638051435837,0.021689799992600456,40.13523567903732,7.6,0.3666666666666667,0.6333333333333333,0.3666666666666667,0.1,0.9,0.0,0.025,14.650813782215119,2305513.029768853,0.0,0.6655143068767215,depth_adaptive,Baseline B: Depth-adaptive,short_qa,21.31767210000544,,,,,,,,
40,8.988952004909516,8014.053803880007,0.04570556749895331,0.022282962350177793,0.04550610000296729,21.879172598018844,7.6,0.3666666666666667,0.31666666666666665,0.6833333333333333,0.1,0.9,0.0,0.0,13.75233178138733,938775.6275928853,0.0,0.6655143068767215,msa,Baseline E: Full MSA,short_qa,5.458637599993381,4.0,0.10256410256410256,0.1,0.9,0.0,0.0,STABLE,
40,1.831273865699768,6.241832853033021,0.05323728499970457,0.06816361378607283,0.04160270000284072,18.78382791319184,30.0,0.0,,,,,,0.675,2.5449104234576225,12.742086642878876,,,dense_reference,"Baseline D: Dense reference (HuggingFaceTB/SmolLM-135M, 134,515,008 params)",short_qa,23.924622599995928,,,,,,,,134515008.0
40,3.406643807888031,30.163838549058802,0.18800500000252213,0.05301203453366394,0.18350330000248505,5.319007473134144,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.386248064041138,1613.6404654018543,0.0,,static,Baseline A: Static GPT-2 (12 layers),gsm8k,125.7692856999929,,,,,,,,
40,3.8708354830741882,47.98245787024593,0.13160274000001665,0.13232825909604426,0.07832665000023553,7.598625986053737,11.5,0.04166666666666663,0.9583333333333333,0.04166666666666674,0.0,0.125,0.875,0.0,8.21651274561882,3701.571527498658,0.0,0.6800950086605705,depth_adaptive,Baseline B: Depth-adaptive,gsm8k,72.52276210000855,,,,,,,,
40,4.006511092185974,54.95480346286759,0.13178631750051864,0.07841252515230758,0.13156945000082487,7.588041148475558,11.6,0.033333333333333326,0.9333333333333332,0.06666666666666676,0.0,0.1,0.9,0.0,7.527154660224914,1857.8118700265015,0.0,0.6800950086605705,msa,Baseline E: Full MSA,gsm8k,80.4807778000104,9.0,0.23076923076923078,0.2,0.8,1.0,0.025,STABLE,
40,2.4125242590904237,11.162101649718165,0.23116478000047208,0.046492986353403244,0.23377985000115586,4.325918507127071,30.0,0.0,,,,,,0.05,2.139035028219223,8.49123986736217,,,dense_reference,"Baseline D: Dense reference (HuggingFaceTB/SmolLM-135M, 134,515,008 params)",gsm8k,68.61558240000159,,,,,,,,134515008.0
