tolerance,average_depth,layer_reduction_percent,relative_flops,compute_reduction_percent,average_latency,average_loss,deep_loss,relative_loss_increase,shallow,medium,deep
0.05,12.0,0.0,1.0,0.0,0.1260568705417275,3.86076536828387,3.86076536828387,0.0,0,0,499
0.1,12.0,0.0,1.0,0.0,0.1260568705417275,3.86076536828387,3.86076536828387,0.0,0,0,499
0.25,11.967935871743487,0.2672010688042792,0.9973279893119572,0.2672010688042792,0.12585313326771552,3.865901201664804,3.86076536828387,0.0013302630154956585,2,0,497
0.5,11.478957915831664,4.342017368069461,0.9565798263193053,4.342017368069473,0.1221219657314661,4.0720208317101125,3.86076536828387,0.05471854497082451,15,35,449
0.75,10.38877755511022,13.426853707414832,0.8657314629258518,13.426853707414821,0.1151169076147125,4.713212073446515,3.86076536828387,0.22079733520339828,38,125,336
1.0,8.865731462925853,26.1189044756179,0.7388109552438209,26.11890447561791,0.10332440781497572,5.848644628792345,3.86076536828387,0.5148925331849672,79,233,187
1.5,5.819639278557114,51.503006012024045,0.4849699398797595,51.503006012024045,0.0777408539080518,7.943484592533303,3.86076536828387,1.0574895998054972,291,189,19
2.0,4.4649298597194385,62.792251169004686,0.37207748830995324,62.79225116900468,0.0650811847714606,8.738632909759492,3.86076536828387,1.2634457357981996,441,58,0
