Dataset,Method,Answer PPL,Accuracy,Prompt loss,Avg depth,Layer red.,Rel. FLOPs,Latency (s)
short_qa,Baseline A: Static GPT-2 (12 layers),284.8915,0.075,3.8017,12.0,0.0,1.0,0.1664
short_qa,Baseline B: Depth-adaptive,2305510.2539,0.025,5.974,7.6,0.3667,0.6333,0.1098
short_qa,Baseline E: Full MSA,938777.9553,0.0,8.989,7.6,0.3667,0.3167,0.0803
gsm8k,Baseline A: Static GPT-2 (12 layers),1613.6401,0.0,3.4066,12.0,0.0,1.0,0.3108
gsm8k,Baseline B: Depth-adaptive,2138.4044,0.0,3.58,11.8,0.0167,0.9833,0.2601
gsm8k,Baseline E: Full MSA,1705.1137,0.0,3.5517,11.9,0.0083,0.9833,0.3745
