Method,Prompt loss,Perplexity,Accuracy,Latency (s),Avg depth,Layer red.,Rel. FLOPs,Compute red.,volatility,rollback_count
A1: Static GPT-2,3.889,48.8617,0.1333,0.07,12.0,0.0,1.0,0.0,,
A2: Analyzer + rule policy,8.0672,3188.1071,0.0167,0.0341,4.0,0.6667,0.3333,0.6667,,
A3: Analyzer + f_theta,5.9736,392.915,0.0167,0.0508,7.7333,0.3556,0.6444,0.3556,,
A4: Depth only,5.9736,392.915,0.0167,0.0415,7.7333,0.3556,0.6444,0.3556,,
A5: Depth + attention,8.4026,4458.6052,0.0333,0.017,7.7333,0.3556,0.5364,0.4636,,
A6: Depth + FFN,7.7411,2301.0099,0.0,0.0267,7.7333,0.3556,0.4303,0.5697,,
A7: Full MSA without stability monitor,9.0972,8930.0866,0.0,0.0495,7.7333,0.3556,0.3222,0.6778,0.0667,0.0
A8: Full MSA,9.0972,8930.0866,0.0,0.03,7.7333,0.3556,0.3222,0.6778,0.0667,0.0
