samples,loss,perplexity,latency_mean,latency_std,latency_p50,throughput,average_depth,layer_reduction,relative_flops,compute_reduction,share_shallow,share_medium,share_deep,fallback_rate,mean_confidence,switches,switch_rate,volatility,rollback_count,rollback_rate,stability_status,variant,label,rollbacks_observed
60,6.7406053185462955,846.072724388912,0.18292152832921904,0.14289631417970242,0.09813835000386462,5.466825086876691,8.066666666666666,0.32777777777777783,0.5111111111111112,0.4888888888888888,0.3333333333333333,0.31666666666666665,0.35,0.05,0.6669942013454019,58,0.9830508474576272,0.9666666666666667,0,0.0,UNSTABLE,A7_no_monitor,A7: Full MSA without stability monitor,0
60,6.507735455036164,670.3067577789751,0.16179032666453472,0.14440677867295382,0.0641254999791272,6.180839241850701,6.666666666666667,0.4444444444444444,0.4444444444444445,0.5555555555555556,0.6666666666666666,0.0,0.3333333333333333,0.05,0.6669942013454019,59,1.0,0.6377777777777778,20,0.3333333333333333,WARNING,A8_full,A8: Full MSA,20
